thin,id,thin2,journal,thin3,thin4,date,thin5,thin6
"NA","3672402","NA","soutnatu","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","41057992","NA","biotropica","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","40483050","NA","procnatiacadscie","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","43188731","NA","bryologist","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","1369148","NA","condor","NA","NA","1996-06-01T00:00:00Z ","","fla"
"NA","43287358","NA","jherpetology","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","3893590","NA","herpetologica","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","4256113","NA","econbota","NA","NA","1998-06-01T00:00:00Z ","","fla"
"NA","20528883","NA","jecology","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","4257084","NA","econbota","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","4090633","NA","auk","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","40930611","NA","divedist","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","23260102","NA","jmammalogy","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","27715250","NA","jfielorni","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","2845403","NA","jbiogeography","NA","NA","1991-06-01T00:00:00Z ","","fla"
"NA","41549472","NA","procbiolscie","NA","NA","2012-06-01T00:00:00Z ","","fla"
"NA","4498567","NA","jherpetology","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","3449169","NA","evolution","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","40058775","NA","jparasitology","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","40157527","NA","ornithmono","NA","NA","1997-06-01T00:00:00Z ","","fla"
"NA","27784009","NA","evolution","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","3285616","NA","jparasitology","NA","NA","1999-06-01T00:00:00Z ","","fla"
"NA","1370494","NA","condor","NA","NA","1997-06-01T00:00:00Z ","","fla"
"NA","40660759","NA","wateintejwatebio","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","1552522","NA","arctantaalpirese","NA","NA","2000-06-01T00:00:00Z ","","fla"
"NA","25209129","NA","herpetologica","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","1540151","NA","biolbull","NA","NA","1973-06-01T00:00:00Z ","","fla"
"NA","4131120","NA","jfielorni","NA","NA","2003-06-01T00:00:00Z ","","fla"
